Date:,6/1/2021,Time:,12:58 PM,Operator:,
Date,Time,Runtime (hr),Iteration,Feed Volume (L),Flush Volume (L),Reject Conductivity (mS.cm),Permeate Conductivity (uS/cm),Feed pH,Reject Flow (L/min),Feed Flow (L/min),Reject Turbidity (NTU),Feed Pressure (psi),Reject Pressure (psi),Permeate Flow (L/min),Feed Temperature (C),Reject Valve Open (%),Feed Pump Power (%),Temperature Valve Open (%),Recirculation Pump Power (%),Total Permeate Produced (L),Water Flux (LMH),Approx. Feed Pump Power Consumption (kW),Approx. Recirc. Pump Power Consumption (kW),Brine Discharge Valve Position,Feed Flush Valve Position,Permeate Transfer Valve State,Acid Pump State,Anti-Scalant Pump State,Salt Pump State,SYSTEM POWER STATE
6/1/2021,12:58:22 PM,0.000909,0.000000,319.392,91.198,12.955,579.843,7.226,1.039,0.029,5.719,1.518,NaN,0.068,19.837,0.000,65.000,0.000,0.000,0.000,0.514,-0.003,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:22 PM,0.000977,1.000000,319.460,91.381,12.955,579.435,7.226,1.048,0.029,5.738,1.518,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,-0.003,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:23 PM,0.001047,2.000000,316.610,90.624,12.957,579.435,7.226,1.039,0.114,5.744,4.047,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.643,0.045,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:23 PM,0.001117,3.000000,316.814,91.353,12.957,580.660,7.226,1.044,0.777,5.732,8.967,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.280,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:23 PM,0.001191,4.000000,319.256,90.880,12.957,579.435,7.226,1.035,0.937,5.738,11.634,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.170,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:23 PM,0.001261,5.000000,319.595,91.149,12.953,580.660,7.226,1.039,0.594,5.725,11.912,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.000,0.514,0.119,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:24 PM,0.001327,6.000000,319.256,91.145,12.957,579.843,7.226,1.031,0.258,5.750,11.877,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.000,0.514,0.093,0.051,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:24 PM,0.001395,7.000000,319.392,91.292,12.953,579.026,7.226,1.027,0.121,5.738,11.808,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.076,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:24 PM,0.001464,8.000000,319.663,91.280,12.957,579.435,7.226,1.039,0.060,5.732,11.669,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.000,0.514,0.064,0.051,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:24 PM,0.001533,9.000000,319.188,91.349,12.959,579.435,7.226,1.039,0.044,5.738,11.634,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.055,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:25 PM,0.001602,10.000000,320.138,91.328,12.957,579.843,7.226,1.039,0.035,5.732,11.634,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.049,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:25 PM,0.001672,11.000000,319.663,91.288,12.955,579.026,7.226,1.035,0.030,5.732,11.600,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.043,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:25 PM,0.001741,12.000000,319.528,91.316,12.955,579.435,7.226,1.035,0.029,5.732,11.531,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.038,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:25 PM,0.001811,13.000000,319.528,91.296,12.955,579.026,7.226,1.052,0.027,5.725,11.496,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.000,0.514,0.035,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:26 PM,0.001880,14.000000,319.256,91.312,12.955,579.435,7.226,1.003,0.023,5.732,11.461,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.000,0.514,0.031,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:26 PM,0.001951,15.000000,319.731,91.259,12.955,579.843,7.226,1.027,0.039,5.744,10.457,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.029,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:26 PM,0.002024,16.000000,319.256,91.186,12.957,579.435,7.226,1.027,0.034,5.738,5.087,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.026,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:26 PM,0.002087,17.000000,319.324,91.333,12.955,579.843,7.226,1.027,0.027,5.732,0.133,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.024,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:27 PM,0.002159,18.000000,319.935,91.341,12.955,579.843,7.226,1.031,0.029,5.732,-2.050,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.000,0.514,0.022,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:27 PM,0.002228,19.000000,319.867,91.271,12.957,579.435,7.226,1.027,0.029,5.738,-3.228,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.000,0.514,0.021,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:27 PM,0.002297,20.000000,319.256,91.320,12.955,579.843,7.226,1.035,0.022,5.732,-3.747,NaN,0.068,19.829,50.000,0.000,0.000,0.000,0.000,0.514,0.019,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:27 PM,0.002365,21.000000,319.460,91.422,12.955,578.617,7.226,1.044,0.025,5.725,-3.782,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.006,0.514,0.018,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:28 PM,0.002435,22.000000,319.188,91.145,12.957,579.843,7.226,1.048,0.008,5.732,-3.713,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.006,0.514,0.017,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:28 PM,0.002503,23.000000,319.799,91.328,12.957,579.435,7.226,1.035,0.023,5.732,-3.574,NaN,0.068,19.833,50.000,0.000,0.000,0.000,0.006,0.514,0.016,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:28 PM,0.002574,24.000000,319.731,91.406,12.957,579.843,7.226,1.027,0.020,5.732,-3.713,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.006,0.514,0.015,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:28 PM,0.002647,25.000000,319.731,91.284,12.957,579.435,7.226,1.027,0.025,5.732,-3.747,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.006,0.514,0.014,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:29 PM,0.002719,26.000000,319.663,91.280,12.955,579.435,7.226,1.023,0.025,5.738,-3.817,NaN,0.068,19.837,50.000,0.000,0.000,0.000,0.006,0.514,0.013,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:29 PM,0.002788,27.000000,319.120,91.304,12.955,579.435,7.226,1.027,0.027,5.732,-3.678,NaN,0.068,19.837,49.991,0.124,0.000,0.000,0.006,0.514,0.012,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:29 PM,0.002852,28.000000,319.324,91.390,12.959,580.252,7.226,1.027,0.029,5.738,-3.678,NaN,0.068,19.842,49.983,0.216,0.000,0.000,0.006,0.514,0.012,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:29 PM,0.002922,29.000000,319.528,91.414,12.957,580.252,7.226,1.044,0.027,5.738,-3.713,NaN,0.068,19.842,49.974,0.314,0.000,0.000,0.006,0.514,0.011,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:30 PM,0.002991,30.000000,319.663,91.316,12.959,579.843,7.226,1.003,0.029,5.732,-3.713,NaN,0.068,19.837,49.966,0.410,0.000,0.000,0.006,0.514,0.010,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:30 PM,0.003060,31.000000,319.663,91.385,12.959,579.435,7.227,1.031,0.023,5.738,-3.747,NaN,0.068,19.842,49.957,0.507,0.000,0.000,0.006,0.514,0.010,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:30 PM,0.003130,32.000000,319.460,91.186,12.955,579.026,7.226,1.031,0.029,5.732,-3.678,NaN,0.068,19.837,49.949,0.603,0.000,0.000,0.006,0.514,0.009,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:30 PM,0.003199,33.000000,319.867,91.267,12.957,580.252,7.226,1.084,0.022,5.732,-3.747,NaN,0.068,19.833,49.940,0.701,0.000,0.000,0.006,0.514,0.009,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:31 PM,0.003275,34.000000,319.392,91.365,12.957,579.843,7.226,1.048,0.029,5.725,-3.678,NaN,0.068,19.837,49.931,0.802,0.000,0.000,0.006,0.514,0.008,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:31 PM,0.003337,35.000000,319.867,91.223,12.957,580.660,7.227,1.031,0.025,5.738,-3.678,NaN,0.068,19.837,49.923,0.894,0.000,0.000,0.006,0.514,0.008,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:31 PM,0.003408,36.000000,319.731,91.410,12.957,580.252,7.226,0.990,0.030,5.738,-3.678,NaN,0.068,19.842,49.914,0.993,0.000,0.000,0.006,0.514,0.007,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:31 PM,0.003476,37.000000,319.528,91.247,12.957,579.843,7.226,1.003,0.029,5.676,-3.644,NaN,0.068,19.833,49.905,1.087,0.000,0.000,0.006,0.514,0.007,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:32 PM,0.003546,38.000000,319.595,91.337,12.957,579.435,7.227,1.031,0.027,5.725,-3.713,NaN,0.068,19.837,49.897,1.185,0.000,0.000,0.006,0.514,0.007,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:32 PM,0.003621,39.000000,318.917,91.214,12.957,579.435,7.226,1.031,0.022,5.732,-3.713,NaN,0.068,19.837,49.888,1.285,0.000,0.000,0.006,0.514,0.006,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:32 PM,0.003691,40.000000,319.799,91.349,12.959,579.435,7.226,1.031,0.020,5.738,-3.782,NaN,0.068,19.833,49.879,1.382,0.000,0.000,0.006,0.514,0.006,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:32 PM,0.003755,41.000000,319.595,91.210,12.961,580.252,7.227,1.031,0.027,5.725,-3.678,NaN,0.068,19.837,49.871,1.476,0.000,0.000,0.006,0.514,0.006,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,12:58:33 PM,0.003824,42.000000,319.392,91.398,12.959,578.617,7.227,1.048,0.025,5.738,-3.678,NaN,0.068,19.842,49.862,1.573,0.000,0.000,0.012,0.514,0.005,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
