Date:,6/1/2021,Time:,1:42 PM,Operator:,
Date,Time,Runtime (hr),Iteration,Feed Volume (L),Flush Volume (L),Reject Conductivity (mS.cm),Permeate Conductivity (uS/cm),Feed pH,Reject Flow (L/min),Feed Flow (L/min),Reject Turbidity (NTU),Feed Pressure (psi),Reject Pressure (psi),Permeate Flow (L/min),Feed Temperature (C),Reject Valve Open (%),Feed Pump Power (%),Temperature Valve Open (%),Recirculation Pump Power (%),Total Permeate Produced (L),Water Flux (LMH),Approx. Feed Pump Power Consumption (kW),Approx. Recirc. Pump Power Consumption (kW),Brine Discharge Valve Position,Feed Flush Valve Position,Permeate Transfer Valve State,Acid Pump State,Anti-Scalant Pump State,Salt Pump State,SYSTEM POWER STATE
6/1/2021,1:42:48 PM,0.001021,0.000000,295.984,91.333,12.829,491.192,7.138,1.035,0.027,5.744,-1.600,NaN,0.068,20.036,0.000,65.000,0.000,0.000,0.000,0.514,-0.003,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:49 PM,0.001088,1.000000,295.984,91.312,12.829,490.783,7.138,1.044,0.030,5.732,-1.600,NaN,0.068,20.031,50.000,0.000,0.006,0.000,0.000,0.514,-0.003,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:49 PM,0.001157,2.000000,295.984,90.831,12.831,490.375,7.138,1.027,0.074,5.738,-1.357,NaN,0.068,20.027,50.000,0.000,0.011,0.000,0.000,0.514,0.659,0.046,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:49 PM,0.001235,3.000000,293.406,91.015,12.827,490.783,7.138,1.072,0.670,5.732,4.255,NaN,0.068,20.031,50.000,0.000,0.016,0.000,0.000,0.514,0.286,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:50 PM,0.001366,4.000000,296.052,91.430,12.827,490.375,7.138,1.027,0.880,5.738,6.438,NaN,0.068,20.031,50.000,0.000,0.027,0.000,0.000,0.514,0.164,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:50 PM,0.001435,5.000000,295.373,91.300,12.829,490.375,7.138,1.035,0.215,5.725,6.542,NaN,0.068,20.031,50.000,0.000,0.033,0.000,0.000,0.514,0.095,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:50 PM,0.001506,6.000000,295.373,91.308,12.827,489.558,7.138,1.023,0.101,5.738,6.369,NaN,0.068,20.031,50.000,0.000,0.038,0.000,0.000,0.514,0.077,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:50 PM,0.001575,7.000000,295.373,91.304,12.827,490.375,7.138,1.052,0.042,5.732,6.195,NaN,0.068,20.031,50.000,0.000,0.044,0.000,0.000,0.514,0.064,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:51 PM,0.001649,8.000000,295.577,91.288,12.827,491.600,7.138,1.031,0.040,5.732,6.230,NaN,0.068,20.031,50.000,0.000,0.049,0.000,0.000,0.514,0.055,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:51 PM,0.001712,9.000000,295.780,91.308,12.829,490.375,7.138,1.031,0.032,5.732,6.265,NaN,0.068,20.031,50.000,0.000,0.055,0.000,0.000,0.514,0.048,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:51 PM,0.001786,10.000000,295.848,91.320,12.829,490.375,7.138,1.027,0.029,5.725,6.230,NaN,0.068,20.027,50.000,0.000,0.060,0.000,0.000,0.514,0.043,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:51 PM,0.001855,11.000000,295.577,91.369,12.827,490.375,7.138,1.027,0.027,5.725,6.126,NaN,0.068,20.031,50.000,0.000,0.065,0.000,0.000,0.514,0.038,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:52 PM,0.001921,12.000000,295.577,91.284,12.829,490.375,7.138,1.031,0.029,5.732,6.091,NaN,0.068,20.031,50.000,0.000,0.070,0.000,0.000,0.514,0.035,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:52 PM,0.001993,13.000000,295.780,91.308,12.827,490.375,7.137,1.039,0.022,5.732,6.022,NaN,0.068,20.031,50.000,0.000,0.076,0.000,0.000,0.514,0.031,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:52 PM,0.002059,14.000000,295.916,91.308,12.829,490.375,7.138,1.039,0.029,5.744,5.295,NaN,0.068,20.036,50.000,0.000,0.082,0.000,0.000,0.514,0.029,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/1/2021,1:42:52 PM,0.002137,15.000000,295.441,91.337,12.827,490.375,7.138,1.031,0.034,5.732,2.142,NaN,0.068,20.031,50.000,0.000,0.088,0.000,0.000,0.514,0.026,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
