Date:,6/2/2021,Time:,8:29 AM,Operator:,
Date,Time,Runtime (hr),Iteration,Feed Volume (L),Flush Volume (L),Reject Conductivity (mS.cm),Permeate Conductivity (uS/cm),Feed pH,Reject Flow (L/min),Feed Flow (L/min),Reject Turbidity (NTU),Feed Pressure (psi),Reject Pressure (psi),Permeate Flow (L/min),Feed Temperature (C),Reject Valve Open (%),Feed Pump Power (%),Temperature Valve Open (%),Recirculation Pump Power (%),Total Permeate Produced (L),Water Flux (LMH),Approx. Feed Pump Power Consumption (kW),Approx. Recirc. Pump Power Consumption (kW),Brine Discharge Valve Position,Feed Flush Valve Position,Permeate Transfer Valve State,Acid Pump State,Anti-Scalant Pump State,Salt Pump State,SYSTEM POWER STATE
6/2/2021,8:29:21 AM,0.001069,0.000000,398.368,91.027,16.992,429.912,7.483,1.019,0.030,6.021,0.341,NaN,0.068,19.509,0.000,65.000,0.000,0.000,0.000,0.564,-0.002,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:22 AM,0.001127,1.000000,398.911,91.031,16.994,430.321,7.483,1.031,0.018,6.027,0.237,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,-0.003,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:22 AM,0.001197,2.000000,398.436,91.088,16.994,429.912,7.484,1.023,0.144,6.009,2.696,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.688,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:22 AM,0.001275,3.000000,398.300,91.316,16.992,429.504,7.483,1.019,0.834,6.027,5.329,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.283,0.045,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:22 AM,0.001338,4.000000,396.672,90.721,16.992,429.912,7.484,1.064,0.910,5.959,8.828,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.164,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:23 AM,0.001405,5.000000,398.232,91.100,16.994,429.912,7.483,1.031,0.546,5.965,8.863,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.121,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:23 AM,0.001475,6.000000,398.707,91.015,16.994,430.321,7.484,1.031,0.238,6.027,8.724,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.094,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:23 AM,0.001551,7.000000,398.775,91.055,16.990,430.321,7.483,1.019,0.121,5.959,8.690,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.076,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:23 AM,0.001613,8.000000,398.368,91.072,16.996,429.504,7.483,1.031,0.050,5.965,8.586,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.063,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:24 AM,0.001684,9.000000,398.639,91.039,16.926,429.912,7.483,1.019,0.039,5.959,8.551,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.055,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:24 AM,0.001754,10.000000,398.775,91.060,16.926,429.912,7.483,1.019,0.030,6.015,8.586,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.048,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:24 AM,0.001828,11.000000,398.639,91.019,16.926,429.912,7.482,1.019,0.025,6.021,8.447,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.043,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:24 AM,0.001890,12.000000,398.368,91.043,16.928,430.729,7.483,1.019,0.022,5.941,8.551,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.038,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:25 AM,0.001962,13.000000,399.046,91.100,16.930,430.321,7.482,1.023,0.022,5.953,8.516,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.034,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:25 AM,0.002031,14.000000,398.911,91.043,16.928,429.912,7.483,0.994,0.018,5.953,8.309,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.031,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:25 AM,0.002105,15.000000,398.504,91.072,16.928,429.912,7.483,1.007,0.010,6.015,7.720,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.029,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:25 AM,0.002170,16.000000,398.436,91.031,16.926,430.321,7.483,0.999,0.018,6.021,3.389,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.026,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:26 AM,0.002239,17.000000,398.504,91.088,16.924,430.321,7.483,1.019,0.015,6.015,-0.352,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.024,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:26 AM,0.002308,18.000000,398.572,91.068,16.928,430.321,7.483,1.023,0.015,5.947,-2.500,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.022,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:26 AM,0.002380,19.000000,398.572,91.047,16.926,429.504,7.483,1.023,0.025,5.959,-3.366,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.021,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:26 AM,0.002447,20.000000,398.707,91.060,16.930,430.321,7.484,1.015,0.015,5.959,-3.747,NaN,0.068,19.509,50.000,0.000,0.000,0.000,0.000,0.564,0.019,0.052,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
6/2/2021,8:29:27 AM,0.002516,21.000000,398.911,91.060,16.930,430.729,7.483,1.023,0.022,5.959,-3.747,NaN,0.068,19.505,50.000,0.000,0.000,0.000,0.000,0.564,0.018,0.053,DISCHARGE,FROM FEED,CLOSED,OFF,OFF,OFF,Full Power
