date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-02T07:28:03Z,0.001168,-0.002,0.052,0.068,1.011,212.165,15.466,7.35,20.605
2021-06-02T07:28:03Z,0.001237,-0.007,0.045,0.068,1.023,211.348,15.466,7.351,20.601
2021-06-02T07:28:03Z,0.001308,0.625,0.044,0.068,1.019,211.756,15.464,7.35,20.605
2021-06-02T07:28:03Z,0.001376,0.271,0.052,0.068,1.003,211.756,15.466,7.35,20.605
2021-06-02T07:28:04Z,0.001463,0.166,0.052,0.068,0.994,212.165,15.468,7.35,20.601
2021-06-02T07:28:04Z,0.001586,0.112,0.052,0.068,1.015,211.756,15.466,7.351,20.605
2021-06-02T07:28:04Z,0.001654,0.075,0.052,0.068,1.011,211.756,15.468,7.35,20.605
2021-06-02T07:28:05Z,0.001723,0.064,0.052,0.068,1.015,211.756,15.468,7.35,20.605
2021-06-02T07:28:05Z,0.001793,0.055,0.052,0.068,1.015,212.573,15.466,7.35,20.605
2021-06-02T07:28:05Z,0.001861,0.048,0.052,0.068,1.015,211.348,15.466,7.351,20.605
2021-06-02T07:28:05Z,0.001931,0.042,0.052,0.068,1.015,212.165,15.466,7.35,20.605
2021-06-02T07:28:06Z,0.002,0.038,0.052,0.068,1.019,212.573,15.468,7.351,20.605
2021-06-02T07:28:06Z,0.00207,0.034,0.052,0.068,1.003,212.165,15.466,7.35,20.601
2021-06-02T07:28:06Z,0.002138,0.031,0.052,0.068,1.031,212.573,15.466,7.351,20.605
2021-06-02T07:28:06Z,0.002209,0.028,0.052,0.068,1.011,212.573,15.468,7.35,20.605
2021-06-02T07:28:07Z,0.002278,0.026,0.052,0.068,1.015,212.165,15.466,7.351,20.601
2021-06-02T07:28:07Z,0.002347,0.024,0.052,0.068,1.015,211.756,15.468,7.351,20.605
2021-06-02T07:28:07Z,0.002416,0.022,0.052,0.068,1.015,211.756,15.404,7.35,20.601
2021-06-02T07:28:07Z,0.002486,0.021,0.052,0.068,1.007,211.348,15.4,7.35,20.605
2021-06-02T07:28:08Z,0.002556,0.019,0.052,0.068,0.999,212.165,15.402,7.35,20.605
2021-06-02T07:28:08Z,0.002626,0.018,0.052,0.068,1.039,211.756,15.402,7.35,20.601
2021-06-02T07:28:08Z,0.002695,0.017,0.052,0.068,1.015,212.165,15.402,7.35,20.601
2021-06-02T07:28:08Z,0.002764,0.016,0.052,0.068,1.015,212.573,15.402,7.351,20.601
2021-06-02T07:28:09Z,0.002833,0.015,0.052,0.068,1.015,212.165,15.402,7.351,20.601
2021-06-02T07:28:09Z,0.002903,0.014,0.052,0.068,1.007,212.165,15.404,7.35,20.597
2021-06-02T07:28:09Z,0.002973,0.013,0.052,0.068,1.019,212.573,15.404,7.351,20.605
2021-06-02T07:28:09Z,0.003042,0.012,0.052,0.068,1.011,212.165,15.402,7.351,20.601
2021-06-02T07:28:10Z,0.003111,0.012,0.052,0.068,1.011,212.573,15.402,7.351,20.601
2021-06-02T07:28:10Z,0.00318,0.011,0.052,0.068,0.994,212.165,15.404,7.351,20.605
2021-06-02T07:28:10Z,0.003249,0.01,0.052,0.068,1.011,212.165,15.404,7.351,20.601
2021-06-02T07:28:10Z,0.003319,0.01,0.052,0.068,1.015,212.165,15.402,7.351,20.601
2021-06-02T07:28:11Z,0.00339,0.009,0.052,0.068,1.023,212.573,15.404,7.351,20.601
2021-06-02T07:28:11Z,0.003459,0.009,0.052,0.068,1.015,212.573,15.406,7.351,20.601
2021-06-02T07:28:11Z,0.003528,0.008,0.052,0.068,1.019,212.982,15.404,7.351,20.597
2021-06-02T07:28:11Z,0.003598,0.008,0.052,0.068,1.023,213.39,15.404,7.35,20.601
2021-06-02T07:28:12Z,0.003667,0.007,0.052,0.068,1.007,212.982,15.404,7.351,20.601
2021-06-02T07:28:12Z,0.003739,0.007,0.052,0.068,1.035,212.165,15.404,7.351,20.601
2021-06-02T07:28:12Z,0.003806,0.007,0.052,0.068,1.019,212.165,15.402,7.351,20.597
2021-06-02T07:28:12Z,0.003877,0.006,0.052,0.068,1.019,212.165,15.404,7.351,20.601
2021-06-02T07:28:13Z,0.003946,0.006,0.052,0.068,1.015,212.573,15.402,7.351,20.601
2021-06-02T07:28:13Z,0.004016,0.006,0.052,0.068,1.023,212.165,15.404,7.351,20.597
2021-06-02T07:28:13Z,0.004084,0.005,0.052,0.068,1.019,212.165,15.402,7.351,20.597
2021-06-02T07:28:13Z,0.004154,0.005,0.052,0.068,1.019,212.982,15.404,7.351,20.592
2021-06-02T07:28:14Z,0.004225,0.004,0.052,0.068,1.015,211.756,15.404,7.351,20.597
2021-06-02T07:28:14Z,0.004293,0.005,0.052,0.068,1.039,212.165,15.402,7.351,20.601
2021-06-02T07:28:14Z,0.004363,0.004,0.052,0.068,1.015,212.165,15.404,7.351,20.597
2021-06-02T07:28:14Z,0.004432,0.004,0.052,0.068,1.027,212.573,15.406,7.351,20.592
2021-06-02T07:28:15Z,0.004502,0.004,0.052,0.068,1.019,212.165,15.404,7.351,20.597
2021-06-02T07:28:15Z,0.00457,0.004,0.052,0.068,1.015,212.573,15.404,7.351,20.597
2021-06-02T07:28:15Z,0.00464,0.004,0.052,0.068,1.023,212.165,15.404,7.351,20.601
2021-06-02T07:28:15Z,0.004709,0.003,0.052,0.068,0.962,211.756,15.406,7.35,20.597
2021-06-02T07:28:16Z,0.00478,0.003,0.052,0.068,1.011,212.573,15.402,7.351,20.597
2021-06-02T07:28:16Z,0.00485,0.003,0.052,0.068,1.019,212.573,15.404,7.35,20.597
2021-06-02T07:28:16Z,0.004918,0.002,0.052,0.068,1.015,212.982,15.402,7.351,20.592
2021-06-02T07:28:16Z,0.004987,0.003,0.052,0.068,1.011,212.573,15.404,7.351,20.597
2021-06-02T07:28:17Z,0.005056,0.003,0.052,0.068,1.015,212.165,15.404,7.351,20.592
