date_time,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-02T07:42:50Z,-0.002,0.052,0.068,1.044,369.449,16.988,7.446,19.863
2021-06-02T07:42:51Z,-0.003,0.052,0.068,1.044,369.858,16.988,7.447,19.863
2021-06-02T07:42:51Z,0.633,0.045,0.068,1.056,369.858,16.922,7.446,19.859
2021-06-02T07:42:51Z,0.28,0.052,0.068,1.035,369.041,16.924,7.446,19.859
2021-06-02T07:42:51Z,0.17,0.052,0.068,1.044,369.449,16.926,7.446,19.859
2021-06-02T07:42:52Z,0.118,0.052,0.068,1.039,369.858,16.924,7.446,19.859
2021-06-02T07:42:52Z,0.092,0.052,0.068,1.056,369.449,16.922,7.446,19.859
2021-06-02T07:42:52Z,0.077,0.052,0.068,1.048,369.041,16.926,7.446,19.863
2021-06-02T07:42:52Z,0.064,0.052,0.068,1.052,369.858,16.924,7.446,19.863
2021-06-02T07:42:53Z,0.055,0.052,0.068,1.027,369.858,16.926,7.447,19.863
2021-06-02T07:42:53Z,0.048,0.052,0.068,1.011,369.858,16.924,7.446,19.863
2021-06-02T07:42:53Z,0.042,0.052,0.068,1.019,369.449,16.924,7.446,19.859
2021-06-02T07:42:53Z,0.038,0.052,0.068,1.039,369.858,16.92,7.446,19.859
2021-06-02T07:42:54Z,0.034,0.052,0.068,1.044,369.858,16.924,7.446,19.859
2021-06-02T07:42:54Z,0.031,0.052,0.068,1.044,369.449,16.922,7.446,19.854
2021-06-02T07:42:54Z,0.028,0.052,0.068,1.048,369.449,16.924,7.445,19.854
2021-06-02T07:42:54Z,0.026,0.052,0.068,1.048,369.449,16.928,7.446,19.859
2021-06-02T07:42:55Z,0.024,0.052,0.068,1.044,369.449,16.924,7.445,19.859
2021-06-02T07:42:55Z,0.022,0.052,0.068,1.044,369.858,16.926,7.446,19.854
2021-06-02T07:42:55Z,0.021,0.052,0.068,1.003,369.449,16.926,7.446,19.859
2021-06-02T07:42:55Z,0.019,0.052,0.068,1.052,370.266,16.855,7.446,19.863
2021-06-02T07:42:56Z,0.018,0.052,0.068,1.068,369.449,16.857,7.446,19.859
2021-06-02T07:42:56Z,0.017,0.052,0.068,1.048,369.041,16.86,7.446,19.859
2021-06-02T07:42:56Z,0.016,0.052,0.068,1.052,368.632,16.857,7.446,19.859
2021-06-02T07:42:56Z,0.015,0.052,0.068,1.044,369.858,16.857,7.446,19.859
2021-06-02T07:42:57Z,0.014,0.052,0.068,1.044,369.449,16.86,7.446,19.859
2021-06-02T07:42:57Z,0.013,0.052,0.068,1.039,370.266,16.86,7.446,19.859
2021-06-02T07:42:57Z,0.012,0.052,0.068,1.048,370.266,16.857,7.446,19.859
2021-06-02T07:42:57Z,0.012,0.052,0.068,1.048,370.266,16.787,7.446,19.859
2021-06-02T07:42:58Z,0.011,0.052,0.068,1.039,369.449,16.787,7.446,19.863
2021-06-02T07:42:58Z,0.01,0.052,0.068,1.039,369.449,16.789,7.447,19.859
2021-06-02T07:42:58Z,0.01,0.052,0.068,1.044,369.858,16.789,7.447,19.863
2021-06-02T07:42:58Z,0.009,0.052,0.068,1.039,369.858,16.787,7.446,19.854
2021-06-02T07:42:59Z,0.009,0.052,0.068,1.044,369.858,16.789,7.447,19.863
2021-06-02T07:42:59Z,0.008,0.052,0.068,1.044,369.041,16.785,7.446,19.863
2021-06-02T07:42:59Z,0.008,0.052,0.068,1.056,370.675,16.785,7.446,19.859
2021-06-02T07:42:59Z,0.008,0.052,0.068,1.056,369.858,16.717,7.447,19.854
2021-06-02T07:43:00Z,0.007,0.052,0.068,1.039,370.266,16.71,7.447,19.863
2021-06-02T07:43:00Z,0.007,0.052,0.068,1.031,369.858,16.71,7.447,19.859
