date_time,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-13T03:49:50Z,0.893297,0.146481,2.035092,21.992159,505.553449,20.021688,21.140317
2021-08-13T03:49:50Z,0.886432,0.135109,2.029366,19.035655,505.096191,20.021688,21.153262
2021-08-13T03:49:50Z,0.953712,0.122574,2.008858,14.008333,505.089453,20.021688,21.136002
2021-08-13T03:49:51Z,0.926655,0.112429,2.008858,13.013014,505.583089,20.021688,21.148947
2021-08-13T03:49:51Z,0.931824,0.090008,2.008858,11.451978,505.765575,20.021688,21.148947
2021-08-13T03:49:52Z,0.938285,0.070301,2.008858,7.221716,505.694689,20.005786,21.166206
2021-08-13T03:49:52Z,0.944828,0.06035,1.988906,5.246929,505.298135,20.004254,21.161892
2021-08-13T03:49:53Z,0.948139,0.056538,1.991559,1.340604,496.034433,19.945262,21.166206
2021-08-13T03:49:53Z,0.95242,0.05195,2.016985,0.584278,494.025509,19.928102,21.161892
2021-08-13T03:49:53Z,0.956781,0.048978,2.068511,0.490701,493.047452,19.927939,21.161892
2021-08-13T03:49:54Z,0.961224,0.047944,2.126967,0.482194,493.047452,19.927939,21.161892
2021-08-13T03:49:54Z,0.9651,0.046135,2.128338,0.473687,493.047452,19.923863,21.166206
2021-08-13T03:49:55Z,0.968977,0.045101,2.149888,0.469433,493.800077,19.926592,21.166206
2021-08-13T03:49:55Z,0.970916,0.044778,2.15852,0.46518,493.564881,19.927721,21.161892
2021-08-13T03:49:55Z,0.972935,0.044196,2.15852,0.46518,493.62984,19.9284,21.166206
2021-08-13T03:49:55Z,0.975358,0.043873,2.149306,0.46518,493.731967,19.929704,21.166206
2021-08-13T03:49:56Z,0.907109,0.043873,2.15852,0.460926,493.656224,19.9302,21.166206
2021-08-13T03:49:56Z,0.678858,0.043486,2.155605,0.456673,493.673102,19.930139,21.170521
2021-08-13T03:49:56Z,0.617231,0.043033,2.103314,0.457628,493.938271,19.930345,21.166206
2021-08-13T03:49:57Z,0.568043,0.042904,2.110874,0.458419,493.618641,19.932015,21.161892
2021-08-13T03:49:57Z,0.534282,0.042516,2.116821,0.456141,493.571601,19.932015,21.166206
2021-08-13T03:49:57Z,0.501733,0.042646,2.11899,0.456369,499.102052,19.932015,21.166206
2021-08-13T03:49:58Z,0.476937,0.041935,2.098689,0.455012,500.777986,19.932015,21.170521
2021-08-13T03:49:58Z,0.45731,0.041935,0,0.460319,502.831577,19.927357,21.170521
2021-08-13T03:49:58Z,0.455291,0.042323,0,3.714856,503.20789,19.929686,21.161892
2021-08-13T03:49:59Z,0.454806,0.042193,0,3.761644,503.20789,19.93358,21.166206
2021-08-13T03:49:59Z,0.452141,0.042258,0,3.761644,503.137107,19.934053,21.166206
2021-08-13T03:49:59Z,0.449153,0.042064,0,3.761644,503.20789,19.931708,21.166206
2021-08-13T03:49:59Z,0.447133,0.042193,0,3.761644,503.20789,19.931845,21.166206
2021-08-13T03:50:00Z,0.445276,0.042064,0,3.761644,503.163155,19.930355,21.166206
2021-08-13T03:50:00Z,0.442368,0.042064,0,3.761644,502.659101,19.927775,21.166206
2021-08-13T03:50:00Z,0.440672,0.041741,0,3.516263,502.831577,19.927939,21.166206
2021-08-13T03:50:01Z,0.43946,0.042,0,3.44861,502.831577,19.927939,21.166206
2021-08-13T03:50:01Z,0.437118,0.041676,0,3.441917,502.831577,19.926672,21.170521
2021-08-13T03:50:02Z,0.43631,0.04187,0,3.379737,502.831577,19.895043,21.170521
2021-08-13T03:50:02Z,0.43518,0.041483,0,3.374372,502.833304,19.893792,21.166206
2021-08-13T03:50:02Z,0.434695,0.041418,0,3.313674,502.90185,19.879926,21.166206
2021-08-13T03:50:03Z,0.434049,0.041935,0,3.281104,502.831577,19.861256,21.161892
2021-08-13T03:50:03Z,0.432514,0.041483,0,3.291936,502.831577,19.861504,21.166206
2021-08-13T03:50:04Z,0.432514,0.041353,0,3.280245,502.831577,19.860685,21.170521
2021-08-13T03:50:04Z,0.431141,0.041483,0,3.209463,503.344731,19.860685,21.170521
2021-08-13T03:50:04Z,0.431545,0.041676,0,3.20855,503.510498,19.863271,21.166206
2021-08-13T03:50:05Z,0.431949,0.041806,0,3.21055,503.372527,19.864308,21.166206
2021-08-13T03:50:05Z,0.429526,0.04187,0,3.229112,503.347962,19.86439,21.166206
2021-08-13T03:50:05Z,0.431141,0.04187,0,3.219903,503.310521,19.864576,21.161892
2021-08-13T03:50:05Z,0.431141,0.041741,0,3.2017,503.069255,19.86491,21.166206
2021-08-13T03:50:06Z,0.431141,0.04187,0,3.195929,502.844554,19.86429,21.166206
2021-08-13T03:50:06Z,0.42993,0.041483,0,3.177701,502.905041,19.864942,21.170521
2021-08-13T03:50:07Z,0.429122,0.041806,0,3.166625,502.863155,19.864618,21.161892
2021-08-13T03:50:07Z,0.429122,0.041806,0,3.159558,502.693351,19.864148,21.170521
2021-08-13T03:50:07Z,0.428557,0.041806,0,3.141342,502.999713,19.864272,21.166206
2021-08-13T03:50:08Z,0.429607,0.041483,0,3.136544,502.927031,19.863506,21.161892
2021-08-13T03:50:08Z,0.429122,0.041676,0,3.126649,502.721583,19.862135,21.161892
2021-08-13T03:50:09Z,0.42783,0.041289,0,3.186087,502.831577,19.861514,21.157577
2021-08-13T03:50:09Z,0.428314,0.041418,0,3.1646,502.831577,19.862911,21.157577
2021-08-13T03:50:09Z,0.427022,0.041547,0,3.1646,502.831577,19.862911,21.161892
2021-08-13T03:50:10Z,0.428153,0.041806,0,3.163684,502.831577,19.862835,21.161892
2021-08-13T03:50:10Z,0.427507,0.041418,0,3.137088,502.831577,19.862729,21.161892
2021-08-13T03:50:10Z,0.426376,0.041741,0,3.130142,502.831577,19.863077,21.157577
2021-08-13T03:50:11Z,0.426618,0.041806,0,3.130484,502.831577,19.861181,21.157577
2021-08-13T03:50:11Z,0.426699,0.041612,0,3.114866,502.831577,19.86203,21.161892
2021-08-13T03:50:11Z,0.426134,0.041676,0,3.106605,502.831577,19.862383,21.157577
2021-08-13T03:50:11Z,0.425891,0.041741,0,3.09837,503.373163,19.861201,21.161892
2021-08-13T03:50:12Z,0.425649,0.041353,0,3.086734,503.372988,19.861571,21.161892
2021-08-13T03:50:12Z,0.425326,0.041676,0,3.081469,503.337555,19.863459,21.161892
2021-08-13T03:50:13Z,0.42476,0.041483,0,3.075879,503.322217,19.86189,21.157577
2021-08-13T03:50:13Z,0.424518,0.041612,0,3.097224,503.486276,19.862916,21.157577
